,alert_strategy,alert_description,alert_status,alert_time,strategy_category,collection_plugin,label
463,,[rail_id_server@IP]: rate controller railid_assign_railid has overloaded at DATE TIME,,1670255462,Others,plugin_B,Event
464,,"[trading_cards_server@IP:xx]: exited, restart success",,1670255462,Others,plugin_B,Event
465,,[rail_id_server@IP]: rate controller railid_assign_railid has overloaded at DATE TIME,,1670255485,Others,plugin_B,Event
466,,"[trading_cards_server@IP:xx]: exited, restart success",,1670255465,Others,plugin_B,Event
467,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670254556,Others,plugin_B,Noise
468,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670253358,Others,plugin_B,Noise
469,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670253214,Others,plugin_B,Noise
470,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252811,Others,plugin_B,Event
471,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252706,Others,plugin_B,Event
472,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252705,Others,plugin_B,Event
473,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252708,Others,plugin_B,Event
474,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252709,Others,plugin_B,Event
475,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252710,Others,plugin_B,Event
476,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252711,Others,plugin_B,Event
477,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670252710,Others,plugin_B,Noise
478,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670252711,Others,plugin_B,Event
479,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670252678,Others,plugin_B,Noise
480,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1670202008,Others,plugin_B,Noise
481,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670426452,Others,plugin_B,Noise
482,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670425319,Others,plugin_B,Noise
483,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670424666,Others,plugin_B,Noise
484,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670421952,Others,plugin_B,Noise
485,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670421054,Others,plugin_B,Noise
486,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670415358,Others,plugin_B,Noise
487,,Agent has not reported data for xx minutes,,1670413926,Others,plugin_B,Noise
488,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670411765,Others,plugin_B,Noise
489,,"""[rail_warner@tencent.com]: IP 'PATH sync_game_info.py online' is not running and try to start""",,1670404751,Others,plugin_B,Noise
490,,Agent has not reported data for xx minutes,,1670401261,Others,plugin_B,Noise
491,,Agent has not reported data for xx minutes,,1670397660,Others,plugin_B,Noise
492,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670394065,Others,plugin_B,Noise
493,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670393457,Others,plugin_B,Noise
494,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670385973,Others,plugin_B,Noise
495,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670383243,Others,plugin_B,Noise
496,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670380871,Others,plugin_B,Noise
497,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670376663,Others,plugin_B,Noise
498,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670376647,Others,plugin_B,Noise
499,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1670374808,Others,plugin_B,Noise
500,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670370054,Others,plugin_B,Noise
501,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1670367077,Others,plugin_B,Noise
502,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1670366482,Others,plugin_B,Noise
503,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670364385,Others,plugin_B,Noise
504,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670363748,Others,plugin_B,Noise
505,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1670363465,Others,plugin_B,Noise
506,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670363459,Others,plugin_B,Noise
507,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1670362593,Others,plugin_B,Noise
508,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361365,Others,plugin_B,Event
509,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361367,Others,plugin_B,Event
510,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361369,Others,plugin_B,Event
511,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361369,Others,plugin_B,Event
512,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361352,Others,plugin_B,Event
513,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361077,Others,plugin_B,Event
514,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361054,Others,plugin_B,Event
515,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
516,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
517,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
518,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
519,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
520,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361057,Others,plugin_B,Event
521,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670361060,Others,plugin_B,Event
522,,"Stand-alone performance is abnormal: the current value of intranet outbound traffic[Mbps] is xx, which is greater than xx",,1670359562,Others,plugin_B,Noise
523,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670356912,Others,plugin_B,Noise
524,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670350556,Others,plugin_B,Noise
525,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670346610,Others,plugin_B,Noise
526,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670346655,Others,plugin_B,Noise
527,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670346052,Others,plugin_B,Noise
528,,"Stand-alone performance is abnormal: the current value of cpu load[xxm] is xx, which is greater than xx",,1670343061,Others,plugin_B,Noise
529,,"Stand-alone performance is abnormal: the current value of cpu load[xxm] is xx, which is greater than xx",,1670343069,Others,plugin_B,Noise
530,,"Stand-alone performance is abnormal: the current value of cpu load[xxm] is xx, which is greater than xx",,1670343068,Others,plugin_B,Noise
531,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343001,Others,plugin_B,Failure
532,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343008,Others,plugin_B,Failure
533,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343044,Others,plugin_B,Failure
534,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343044,Others,plugin_B,Failure
535,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343012,Others,plugin_B,Failure
536,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343013,Others,plugin_B,Failure
537,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343013,Others,plugin_B,Failure
538,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343013,Others,plugin_B,Failure
539,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343017,Others,plugin_B,Failure
540,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343018,Others,plugin_B,Failure
541,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343020,Others,plugin_B,Failure
542,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670343054,Others,plugin_B,Noise
543,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670343038,Others,plugin_B,Failure
544,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342976,Others,plugin_B,Failure
545,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342995,Others,plugin_B,Failure
546,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342883,Others,plugin_B,Failure
547,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342887,Others,plugin_B,Failure
548,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342890,Others,plugin_B,Failure
549,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342896,Others,plugin_B,Failure
550,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342899,Others,plugin_B,Failure
551,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342904,Others,plugin_B,Failure
552,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342919,Others,plugin_B,Failure
553,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342914,Others,plugin_B,Failure
554,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342926,Others,plugin_B,Failure
555,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342916,Others,plugin_B,Failure
556,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342932,Others,plugin_B,Failure
557,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342938,Others,plugin_B,Failure
558,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342825,Others,plugin_B,Failure
559,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342828,Others,plugin_B,Failure
560,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342830,Others,plugin_B,Failure
561,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342834,Others,plugin_B,Failure
562,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342837,Others,plugin_B,Failure
563,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342841,Others,plugin_B,Failure
564,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342845,Others,plugin_B,Failure
565,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342851,Others,plugin_B,Failure
566,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342852,Others,plugin_B,Failure
567,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342878,Others,plugin_B,Failure
568,,TCP LISTEN port xx does not exist!. Bind ip: IP,,1670342862,Others,plugin_B,Failure
569,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
570,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
571,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
572,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
573,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
574,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342763,Others,plugin_B,Failure
575,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342765,Others,plugin_B,Failure
576,,"[IDC] Game Server Exception: cvm_ip: IP, game_server_instance_id: xx, rail_id: xx, game_id: xx, game_server_state: RUNNING, cvm_region: ap-shanghai, cvm_instance_id: xx",,1670342768,Others,plugin_B,Noise
577,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342813,Others,plugin_B,Failure
578,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342818,Others,plugin_B,Failure
579,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342707,Others,plugin_B,Failure
580,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342706,Others,plugin_B,Failure
581,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342707,Others,plugin_B,Failure
582,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342707,Others,plugin_B,Failure
583,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342707,Others,plugin_B,Failure
584,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342714,Others,plugin_B,Failure
585,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342708,Others,plugin_B,Failure
586,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342708,Others,plugin_B,Failure
587,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342708,Others,plugin_B,Failure
588,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342709,Others,plugin_B,Failure
589,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342710,Others,plugin_B,Failure
590,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342709,Others,plugin_B,Failure
591,,"report post fail, err:  Post ""http:/PATH:xxPATH"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",,1670342710,Others,plugin_B,Failure
592,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
593,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
594,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
595,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
596,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
597,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342742,Others,plugin_B,Failure
598,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342749,Others,plugin_B,Failure
599,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342750,Others,plugin_B,Failure
600,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342753,Others,plugin_B,Failure
601,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342753,Others,plugin_B,Failure
602,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342753,Others,plugin_B,Failure
603,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
604,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
605,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
606,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
607,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
608,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
609,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
610,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
611,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342758,Others,plugin_B,Failure
612,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
613,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
614,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342758,Others,plugin_B,Failure
615,,"Stand-alone performance is abnormal: the current value of application memory usage[%] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
616,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670342757,Others,plugin_B,Failure
617,,Process netrelay does not exist,,1670342584,Others,plugin_B,Failure
618,,Process netrelay does not exist,,1670342612,Others,plugin_B,Failure
619,,Process netrelay does not exist,,1670342613,Others,plugin_B,Failure
620,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1670342630,Others,plugin_B,Noise
621,,"[mars_pay_server@IP:xx]: exited, restart success",,1670342524,Others,plugin_B,Noise
622,,Process netrelay does not exist,,1670342524,Others,plugin_B,Failure
623,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1670342526,Others,plugin_B,Noise
624,,Process netrelay does not exist,,1670342532,Others,plugin_B,Failure
625,,Process netrelay does not exist,,1670342525,Others,plugin_B,Failure
626,,Process netrelay does not exist,,1670342533,Others,plugin_B,Failure
627,,Process netrelay does not exist,,1670342532,Others,plugin_B,Failure
628,,Process netrelay does not exist,,1670342529,Others,plugin_B,Failure
629,,Process nginx does not exist,,1670342534,Others,plugin_B,Failure
630,,Process netrelay does not exist,,1670342535,Others,plugin_B,Failure
631,,Process nginx does not exist,,1670342534,Others,plugin_B,Failure
632,,Process netrelay does not exist,,1670342534,Others,plugin_B,Failure
633,,Process netrelay does not exist,,1670342535,Others,plugin_B,Failure
634,,Process nginx does not exist,,1670342535,Others,plugin_B,Failure
635,,Process nginx does not exist,,1670342536,Others,plugin_B,Failure
636,,Process netrelay does not exist,,1670342537,Others,plugin_B,Failure
637,,Process nginx does not exist,,1670342537,Others,plugin_B,Failure
638,,Process netrelay does not exist,,1670342528,Others,plugin_B,Failure
639,,Process nginx does not exist,,1670342521,Others,plugin_B,Failure
640,,Process netrelay does not exist,,1670342542,Others,plugin_B,Failure
641,,Process tconnd does not exist,,1670342543,Others,plugin_B,Failure
642,,Process nginx does not exist,,1670342544,Others,plugin_B,Failure
643,,Process tconnd does not exist,,1670342543,Others,plugin_B,Failure
644,,Process netrelay does not exist,,1670342545,Others,plugin_B,Failure
645,,Process netrelay does not exist,,1670342552,Others,plugin_B,Failure
646,,Process netrelay does not exist,,1670342548,Others,plugin_B,Failure
647,,Process nginx does not exist,,1670342555,Others,plugin_B,Failure
648,,Process netrelay does not exist,,1670342556,Others,plugin_B,Failure
649,,Process netrelay does not exist,,1670342556,Others,plugin_B,Failure
650,,Process netrelay does not exist,,1670342560,Others,plugin_B,Failure
651,,Process netrelay does not exist,,1670342564,Others,plugin_B,Failure
652,,Process nginx does not exist,,1670342566,Others,plugin_B,Failure
653,,Process netrelay does not exist,,1670342572,Others,plugin_B,Failure
654,,Process netrelay does not exist,,1670342578,Others,plugin_B,Failure
655,,Process netrelay does not exist,,1670342578,Others,plugin_B,Failure
656,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1670342462,Others,plugin_B,Noise
657,,Process netrelay does not exist,,1670342462,Others,plugin_B,Failure
658,,Process tconnd does not exist,,1670342464,Others,plugin_B,Failure
659,,Process nginx does not exist,,1670342463,Others,plugin_B,Failure
660,,"[data_filter@IP]: exited, restart success",,1670342463,Others,plugin_B,Failure
661,,DATE TIME data server ip list is empty,,1670342467,Others,plugin_B,Noise
662,,"[data_filter@IP]: exited, restart success",,1670342466,Others,plugin_B,Failure
663,,Process netrelay does not exist,,1670342465,Others,plugin_B,Failure
664,,Process netrelay does not exist,,1670342466,Others,plugin_B,Failure
665,,Process nginx does not exist,,1670342473,Others,plugin_B,Failure
666,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670342472,Others,plugin_B,Failure
667,,Process netrelay does not exist,,1670342474,Others,plugin_B,Failure
668,,Process nginx does not exist,,1670342475,Others,plugin_B,Failure
669,,Process nginx does not exist,,1670342475,Others,plugin_B,Failure
670,,Process netrelay does not exist,,1670342478,Others,plugin_B,Failure
671,,Process nginx does not exist,,1670342477,Others,plugin_B,Failure
672,,Process nginx does not exist,,1670342478,Others,plugin_B,Failure
673,,Process netrelay does not exist,,1670342480,Others,plugin_B,Failure
674,,Process netrelay does not exist,,1670342480,Others,plugin_B,Failure
675,,Process netrelay does not exist,,1670342485,Others,plugin_B,Failure
676,,Process netrelay does not exist,,1670342491,Others,plugin_B,Failure
677,,Process nginx does not exist,,1670342499,Others,plugin_B,Failure
678,,Process netrelay does not exist,,1670342491,Others,plugin_B,Failure
679,,Process netrelay does not exist,,1670342500,Others,plugin_B,Failure
680,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670342501,Others,plugin_B,Failure
681,,Process nginx does not exist,,1670342492,Others,plugin_B,Failure
682,,Process netrelay does not exist,,1670342494,Others,plugin_B,Failure
683,,Process nginx does not exist,,1670342502,Others,plugin_B,Failure
684,,Process netrelay does not exist,,1670342494,Others,plugin_B,Failure
685,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670342465,Others,plugin_B,Failure
686,,Process nginx does not exist,,1670342506,Others,plugin_B,Failure
687,,Process netrelay does not exist,,1670342506,Others,plugin_B,Failure
688,,Process nginx does not exist,,1670342506,Others,plugin_B,Failure
689,,Process nginx does not exist,,1670342506,Others,plugin_B,Failure
690,,Process netrelay does not exist,,1670342507,Others,plugin_B,Failure
691,,Process netrelay does not exist,,1670342509,Others,plugin_B,Failure
692,,"DATE TIME agent some exception happened, master will auto-restart worker",,1670342511,Others,plugin_B,Noise
693,,Process nginx does not exist,,1670342510,Others,plugin_B,Failure
694,,Process netrelay does not exist,,1670342513,Others,plugin_B,Failure
695,,Process nginx does not exist,,1670342513,Others,plugin_B,Failure
696,,python settlement_download_server.py online restart,,1670342487,Others,plugin_B,Noise
697,,Process nginx does not exist,,1670342517,Others,plugin_B,Failure
698,,Process netrelay does not exist,,1670342518,Others,plugin_B,Failure
699,,Process nginx does not exist,,1670342519,Others,plugin_B,Failure
700,,Process nginx does not exist,,1670342519,Others,plugin_B,Failure
701,,Process netrelay does not exist,,1670342520,Others,plugin_B,Failure
702,,Process nginx does not exist,,1670342520,Others,plugin_B,Failure
703,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670426452,Others,plugin_B,Noise
704,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670425319,Others,plugin_B,Noise
705,,"WeGame_Formal
abnormal progress list:
payment_2_midas_check
refund_2_midas_middle_check
unhandled abnormal table list(name,type,num):
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_midas) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_payment_log xx(to_activate) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_midas) xx
abnormal_middle_refund_log xx(to_activate) xx
abnormal_original_activate_log xx(to_cdkey) xx
abnormal_original_payment_log xx(self) xx
abnormal_original_refund_log xx(to_activate) xx",,1670374808,Others,plugin_B,Noise
706,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670511666,Others,plugin_B,Noise
707,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670509279,Others,plugin_B,Noise
708,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670505953,Others,plugin_B,Noise
709,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670504401,Others,plugin_B,Noise
710,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670504401,Others,plugin_B,Noise
711,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670504403,Others,plugin_B,Noise
712,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670504399,Others,plugin_B,Noise
713,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670502946,Others,plugin_B,Noise
714,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1670501151,Others,plugin_B,Noise
715,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1670496876,Others,plugin_B,Noise
716,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670494313,Others,plugin_B,Noise
717,,[appstore_server@IP]: rate controller AppstoreInternalWrite has overloaded at DATE TIME,,1670494218,Others,plugin_B,Noise
